rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
74,frame_0383.jpg,153.2,0.5491,0.6216,0.7143,0.12,8,5,False,False
75,frame_0319.jpg,127.6,0.5489,0.7286,0.4286,0.28,8,3,False,False
76,frame_0117.jpg,46.8,0.5473,0.5917,0.5714,0.4,7,4,False,False
77,frame_0086.jpg,34.4,0.5434,0.6217,0.4286,0.52,4,3,False,False
78,frame_0096.jpg,38.4,0.5426,0.6944,0.5714,0.12,7,4,False,False
79,frame_0095.jpg,38.0,0.5422,0.5918,0.7143,0.16,6,5,False,False
80,frame_0282.jpg,112.8,0.5386,0.628,0.4286,0.48,5,3,False,False
81,frame_0207.jpg,82.8,0.5363,0.4955,0.4286,0.8,4,3,False,False
82,frame_0300.jpg,120.0,0.5356,0.6221,0.4286,0.48,7,3,False,False
83,frame_0085.jpg,34.0,0.5344,0.8449,0.0,0.56,2,0,False,False
84,frame_0020.jpg,8.0,0.534,0.668,0.0,1.0,4,0,False,False
85,frame_0125.jpg,50.0,0.5337,0.6079,0.2857,0.72,5,2,False,False
86,frame_0302.jpg,120.8,0.5329,0.6486,0.4286,0.4,6,3,False,False
87,frame_0231.jpg,92.4,0.5327,0.7443,0.4286,0.16,8,3,False,False
88,frame_0001.jpg,0.4,0.5315,0.5772,0.1429,1.0,8,1,False,False
89,frame_0226.jpg,90.4,0.5287,0.6986,0.5714,0.04,6,4,False,False
90,frame_0129.jpg,51.6,0.5279,0.5324,0.2857,0.88,6,2,False,False
91,frame_0028.jpg,11.2,0.5278,0.4841,0.2857,1.0,4,2,False,False
92,frame_0078.jpg,31.2,0.5266,0.5458,0.2857,0.84,5,2,False,False
93,frame_0105.jpg,42.0,0.5224,0.6699,0.5714,0.08,6,4,False,False
94,frame_0200.jpg,80.0,0.5219,0.6643,0.2857,0.52,2,2,False,False
95,frame_0305.jpg,122.0,0.5212,0.6732,0.4286,0.28,5,3,False,False
96,frame_0014.jpg,5.6,0.5144,0.4573,0.2857,1.0,5,2,False,False
97,frame_0081.jpg,32.4,0.5142,0.569,0.2857,0.72,6,2,False,False
98,frame_0230.jpg,92.0,0.5138,0.7224,0.4286,0.12,9,3,False,False
99,frame_0276.jpg,110.4,0.5134,0.6737,0.4286,0.24,10,3,False,False
100,frame_0180.jpg,72.0,0.5093,0.6437,0.5714,0.08,8,4,False,False
101,frame_0205.jpg,82.0,0.509,0.5586,0.2857,0.72,2,2,False,False
102,frame_0377.jpg,150.8,0.5054,0.7056,0.4286,0.12,10,3,False,False
103,frame_0176.jpg,70.4,0.5037,0.6543,0.4286,0.24,7,3,False,False
